ID,hora_reg_norm,dia_reg,medio_contacto_grupo,tipo_mail_rango,ingreso_propio_norm,edad_norm,sexo,nivel_estudios,Estado,destino,act_eco,ing_cuota_pf_rv,cuota_mensual_fijos,cuota_mensual_revolventes,hist_suf_pf_norm,hist_suf_rv_norm,bc_score_norm,icc_norm,monto_prom_norm,porc_deuda_12m_norm,porc_fijos_norm,porc_saldo_fijos_norm,pagos_suf_limite_norm,pagos_suf_limite_RV_norm,creditos_general_norm,creditos_general_ab_norm,creditos_recientes_norm,Saldo_Vencido_act_norm,Saldo_Actual_PF_norm,Saldo_Actual_RV_norm,porc_deuda_rev_norm,pagos_suf_limite_PF_norm,porc_mop_1_norm,ind_mop_4_9_norm,mop_max_act_norm,BANCO_HIP,BANCO_RV,BANCO_PF,AUTO,TIENDA_COMERCIAL,FINANCIERA,MICROFINANCIERA,COMUNICACIONES,con_2m_norm,BURO_DE_CREDITO_C,BANCO_C,SIC_C,FINANCIERA_C,CONSUMIDOR_FINAL_C,MICROFINANCIERA_C,TIENDA_COMERCIAL_C,BANCOS_C
1220339,1.0,4,YoTePresto,correo_otro,1.0,0.01211509,Hombre,Maestria,Estado de México,2,Comerciante,0.1666667,0,10000,0.22,0.904,0.7120743,0.625,1.0,0.2496869,0.1071429,0.0,1.0,1.0,0.42,0.5,1.0,0.0,0.0,1.0,0.8952026,0.1025,0.9456099,0.0,0.1111111,0.0,0.5357143,0.07142857,0.03571429,0.0,0.0,0.03571429,0.1428571,0.4666667,0.2962963,0.3703704,0.1111111,0.03703704,0.07407407,0.03703704,0.0,0.0
487785,0.521739130434783,3,Campana GL,hot,0.214285714285714,0.00454316002019182,Mujer,Licenciatura,Estado de México,6,Empleado,0.1569375,0,2511,0.0,0.268,0.746130030959752,0.875,0.0,0.24968685516318,0.0,0.0,0.094,0.094,0.04,0.05,0.5,0.0,0.0,0.116966666666667,0.83547619047619,0.0,1.0,0.0,0.111111111111111,0.0,0.333333333333333,0.0,0.0,0.333333333333333,0.0,0.0,0.333333333333333,0.0,0.285714285714286,0.0,0.142857142857143,0.0,0.0,0.0,0.142857142857143,0.142857142857143
1709994,0.5652174,6,Campana GL,gma,0.03571429,0.01463907,Mujer,Bachillerato,CDMX,6,Empleado,0.8448333,3474,1595,0.804,0.088,0.6068111,0.75,0.08416667,0.2496869,0.5,0.8665065,0.72,0.142,0.2,0.35,0.875,0.0,0.024824,0.2334133,0.5186963,0.7225,0.6458333,0.7,0.1111111,0.1,0.5,0.2,0.0,0.2,0.0,0.0,0.0,0.06666667,0.1764706,0.7647059,0.0,0.0,0.0,0.0,0.0,0.0
301827,0.652173913043478,3,Otro_medio,hot,0.0357142857142857,0.00706713780918728,Mujer,Bachillerato,Aguascalientes,6,Empleado,0.0635,0,381,0.116,0.368,0.758513931888545,0.75,0.065,0.24968685516318,0.285714285714286,0.0,0.27,0.248,0.14,0.2,0.833333333333333,0.0,0.0,0.0762933333333333,0.279258174719375,0.0275,1.0,0.0,0.111111111111111,0.0,0.428571428571429,0.0,0.0,0.285714285714286,0.142857142857143,0.0,0.0,0.0666666666666667,0.111111111111111,0.222222222222222,0.277777777777778,0.0555555555555556,0.111111111111111,0.0,0.111111111111111,0.0
1622461,0.7391304,7,YoTePresto,gma,0.5357143,0.005552751,Hombre,Licenciatura,Coahuila de Zaragoza,9,Empleado,0.2581471,7633,1144,0.212,0.484,0.628483,0.875,0.0,0.2496869,0.2307692,0.8308123,0.866,0.656,0.2,0.3,1.0,0.0,0.599564,0.2034933,0.3244025,0.2625,0.7696477,1.0,0.1111111,0.0,0.3076923,0.07692308,0.07692308,0.2307692,0.0,0.0,0.2307692,0.7333333,0.2173913,0.2608696,0.173913,0.08695652,0.173913,0.0,0.0,0.0
1777680,0.3913043,3,Otro_medio,hot,0.07142857,0.01413428,Hombre,Licenciatura,Chiapas,6,Empleado,0.626,3996,1012,0.2,0.304,0.6904025,0.875,1.0,0.2028174,0.5,0.9392195,0.148,0.048,0.08,0.1,1.0,0.0,0.3844,0.04146,0.2775596,0.125,0.9415205,0.2,0.1111111,0.0,0.1666667,0.5,0.0,0.0,0.0,0.0,0.3333333,0.06666667,0.3333333,0.3333333,0.0,0.0,0.0,0.0,0.0,0.0
1757527,0.5217391,4,Campana GL,hot,0.7321429,0.004038364,Mujer,Licenciatura,Nuevo Leon,6,Empleado,0.03442222,0,1549,0.0,0.192,0.5975232,0.625,0.1075,0.2496869,0.0,0.0,0.164,0.164,0.08,0.2,1.0,0.0,0.0,0.25248,0.8109636,0.0,0.7814208,0.1,0.1111111,0.0,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0.3333333,0.2727273,0.5454545,0.04545455,0.0,0.04545455,0.0,0.0,0.0
744509,0.4782609,2,Campana GL,hot,0.25,0.00454316,Mujer,Licenciatura,CDMX,6,Empleado,0.6907778,7726,4708,0.32,0.252,0.7739938,0.75,0.12648,0.2127776,0.4,0.6676315,0.526,0.438,0.36,0.4,0.5714286,0.0,0.594184,0.4930067,0.6386042,0.11,0.96997,0.0,0.1111111,0.0,0.35,0.1,0.0,0.35,0.05,0.05,0.1,0.1333333,0.3333333,0.375,0.08333333,0.04166667,0.0,0.0,0.0,0.08333333
829564,1.0,7,Otro_medio,hot,1.0,0.01009591,Hombre,Licenciatura,Oaxaca,2,Comerciante,0.1040667,4312,1932,0.188,0.444,0.7863777,0.75,0.1086667,0.2920652,0.25,0.8055391,1.0,0.896,0.32,0.45,0.8181818,0.0,0.77914,0.31348,0.3882618,0.13,0.9695586,0.1,0.1111111,0.0,0.625,0.1875,0.0,0.0625,0.0,0.0,0.0,0.1333333,0.2727273,0.09090909,0.09090909,0.04545455,0.09090909,0.0,0.1363636,0.0
174109,0.869565217391304,4,Otro_medio,yah,0.285714285714286,0.0212014134275618,Mujer,Licenciatura,CDMX,6,Empleado,0.60415,8300,3783,0.324,1.0,0.705882352941177,0.875,0.08625,0.24968685516318,0.166666666666667,0.737330462135134,1.0,1.0,0.28,0.25,0.833333333333333,0.0,0.261596,0.15532,0.186235011990408,0.195,0.966887417218543,0.1,0.111111111111111,0.0,0.611111111111111,0.166666666666667,0.0,0.0,0.0,0.0,0.166666666666667,0.0666666666666667,0.125,0.75,0.0,0.0,0.0,0.0,0.0,0.0
